max_momento,delta,theta,alpha,beta,gamma
5.0,0.4260524315615124,2.162335266462466,3.3933478614071757,3.1059063799077355,0.16595320393601126
6.0,0.38764459782146565,2.214744005686234,3.491633554064354,2.7757730064347914,0.1637410992195142
7.0,0.4180924798341087,2.017121286826322,3.1900315430463246,2.515977077937294,0.15937306834849202
8.0,0.5563886046809128,2.4531584849547787,2.8109343214756146,2.033783645894876,0.14989271156034142
9.0,0.4743804311903802,2.7330255973634463,3.4990331785480433,2.1132539545134694,0.15058534627657946
10.0,0.5076058998663466,2.6466249018442842,4.0500859675328,2.120479567184005,0.18617034598641508
11.0,0.48793735780998176,2.7154641012044367,6.801405950396359,2.1845155298147674,0.1982480498637939
12.0,0.40689611496874156,2.8907860685961753,8.696361135152902,2.2446732005820302,0.19964068524412945
13.0,0.4527966276307538,2.6443000789360585,11.17087049695688,2.287744707697593,0.19617155898168528
14.0,0.37539079488377447,2.5589165304348294,13.882917276064495,2.4454609077951597,0.1668349458439887
15.0,0.3181758080955867,2.446154618272722,14.913384278892188,2.652609531950296,0.1614776074026656
16.0,0.29710487002648767,2.262094011488945,15.492817100351646,2.6025149992866536,0.1630709866977528
17.0,0.2452323319263385,2.5845428817212124,13.942321787047248,2.289242373984219,0.16213111988129578
18.0,0.26896707923100005,2.8149872005523635,12.286243724353092,2.140276617443605,0.15512195269334283
19.0,0.3386557051421812,3.1611001574616227,10.28582835625747,1.9858033304624696,0.1676643636664739
20.0,0.3370556767663004,3.3491955997934304,9.788981210824373,1.911489087680297,0.15521511005222022
21.0,0.3157901724434525,2.89245561937662,11.584261937817454,2.198792637937114,0.1610737601120323
22.0,0.3072362652735178,2.897829602884477,11.350014427347588,2.096764773423108,0.1646057577568234
23.0,0.24063486938477557,2.6316432460567816,10.726982656736187,2.0629700919237024,0.15420821586814282
24.0,0.272841486655104,2.8873853161364966,10.541710829986462,2.0630174507805545,0.16121661025746525
25.0,0.2890647308982621,2.7331766602805683,8.67404038247306,1.9593016122181457,0.15079147036279275
26.0,0.36593210567267537,2.7677501192707816,10.082661804639752,2.2690689274686227,0.14992043366233535
27.0,0.438011691991003,2.8110740033898023,8.896901529971823,2.1200243358503865,0.1591573679694863
28.0,0.4090479726378565,2.9296766322749708,8.720579835219393,2.451447688413108,0.16378949295886233
29.0,0.3788383209158217,2.9585429077518652,9.747460108396757,2.7115557959111367,0.16957569777590628
30.0,0.2869401611665826,2.6268276561311192,9.088402696087975,2.471934136519168,0.17477409752193623
31.0,0.2998087138500539,2.5430442992543734,9.069774485742661,2.330334685871142,0.17951300699971198
32.0,0.46065828176518664,2.7542025582228327,8.359855281764926,1.8837295832835563,0.20932050098120908
33.0,0.5090518943437768,2.768705449814446,6.637444295425331,1.4412125545818544,0.20108869990909425
34.0,0.6056607105854064,3.3373433105462356,4.4794977089097054,1.1924901114645488,0.21347323842570498
35.0,0.5367764535236393,3.4089190830518232,3.5057377522319415,1.1733184446326044,0.20286244682471985
36.0,0.3901056815811178,2.3607167084621175,3.097474508800273,1.1234630994383057,0.15455221335128064
37.0,0.3502814670926388,2.340080864890519,2.2517549108093324,1.009330364997857,0.15627367587831476
38.0,0.28461521024974096,1.7706733722548353,1.97925662221119,1.0284674860712621,0.12778981989773688
39.0,0.3675547885173225,2.086785817373209,2.3362364856612032,1.0726948780361645,0.1235211812719828
40.0,0.4434618246112355,2.50920542779409,3.164502087673018,1.0315186808368786,0.13996098915402877
